frame_index,video_time,video_time_seconds,timestamp,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z,rotation_w,pkl_filename
129,00:01:39,99.604909658432,1767597136.1711586,4.565863609313965,-0.7482829093933105,0.4399999976158142,0.0,0.0,0.006611587479710579,0.9999781250953674,frame_1767597136.1711586.pkl
130,00:01:40,100.31469011306763,1767597136.880939,4.565863609313965,-0.7482829093933105,0.4399999976158142,0.0,0.0,0.15099334716796875,0.9885347485542297,frame_1767597136.880939.pkl
131,00:01:41,101.01032328605652,1767597137.5765722,4.565863609313965,-0.7482829093933105,0.4399999976158142,0.0,0.0,0.29488518834114075,0.9555326700210571,frame_1767597137.5765722.pkl
132,00:01:41,101.73559641838074,1767597138.3018453,4.581127166748047,-0.7336316108703613,0.4399999976158142,0.0,0.0,0.3765032887458801,0.9264153242111206,frame_1767597138.3018453.pkl
133,00:01:42,102.39745354652405,1767597138.9637024,4.653872966766357,-0.6581692695617676,0.4399999976158142,0.0,0.0,0.4023101031780243,0.9155035018920898,frame_1767597138.9637024.pkl
134,00:01:43,103.23366332054138,1767597139.7999122,4.748047351837158,-0.5547685623168945,0.4399999976158142,0.0,0.0,0.40483227372169495,0.9143909811973572,frame_1767597139.7999122.pkl
135,00:01:43,103.97189903259277,1767597140.538148,4.881822109222412,-0.40915393829345703,0.4399999976158142,0.0,0.0,0.3990285396575928,0.9169384837150574,frame_1767597140.538148.pkl
136,00:01:44,104.71509313583374,1767597141.281342,4.987121105194092,-0.2979907989501953,0.4399999976158142,0.0,0.0,0.39062705636024475,0.9205490350723267,frame_1767597141.281342.pkl
137,00:01:45,105.38017225265503,1767597141.9464211,5.043017387390137,-0.2411026954650879,0.4399999976158142,0.0,0.0,0.3783557116985321,0.925660252571106,frame_1767597141.9464211.pkl
138,00:01:46,106.10729503631592,1767597142.673544,5.043017387390137,-0.2411026954650879,0.4399999976158142,0.0,0.0,0.3334018886089325,0.9427847862243652,frame_1767597142.673544.pkl
139,00:01:46,106.88664841651917,1767597143.4528973,5.056186676025391,-0.23283100128173828,0.4399999976158142,0.0,0.0,0.2744450569152832,0.9616027474403381,frame_1767597143.4528973.pkl
140,00:01:47,107.55718636512756,1767597144.1234353,5.16064453125,-0.17258644104003906,0.4399999976158142,0.0,0.0,0.2438034862279892,0.9698246717453003,frame_1767597144.1234353.pkl
141,00:01:48,108.43715643882751,1767597145.0034053,5.304255485534668,-0.09858894348144531,0.4399999976158142,0.0,0.0,0.22813384234905243,0.9736297726631165,frame_1767597145.0034053.pkl
142,00:01:49,109.38781309127808,1767597145.954062,5.417525291442871,-0.04323911666870117,0.4399999976158142,0.0,0.0,0.21929031610488892,0.9756596684455872,frame_1767597145.954062.pkl
143,00:01:50,110.13861298561096,1767597146.7048619,5.532256603240967,0.006485939025878906,0.4399999976158142,0.0,0.0,0.1833977997303009,0.9830387830734253,frame_1767597146.7048619.pkl
144,00:01:51,111.07788515090942,1767597147.644134,5.633144378662109,0.039816856384277344,0.4399999976158142,0.0,0.0,0.1336873173713684,0.9910235404968262,frame_1767597147.644134.pkl
145,00:01:51,111.96064329147339,1767597148.5268922,5.633144378662109,0.039816856384277344,0.4399999976158142,0.0,0.0,0.1336873173713684,0.9910235404968262,frame_1767597148.5268922.pkl
146,00:01:52,112.7119665145874,1767597149.2782154,5.660447120666504,0.04709815979003906,0.4399999976158142,0.0,0.0,0.1257334202528,0.9920640587806702,frame_1767597149.2782154.pkl
147,00:01:53,113.40079092979431,1767597149.9670398,5.773271560668945,0.0722970962524414,0.4399999976158142,0.0,0.0,0.09296714514493942,0.9956691861152649,frame_1767597149.9670398.pkl
